RegionName,State,City,Date,Value
78209,TX,San Antonio,2002-05-31,72321.5186282492
78229,TX,San Antonio,2002-05-31,51320.75168834074
78217,TX,San Antonio,2002-05-31,43831.24231034424
78212,TX,San Antonio,2002-05-31,57430.32278226485
78204,TX,San Antonio,2002-05-31,86159.2599308078
78202,TX,San Antonio,2002-05-31,63212.928841599954
78207,TX,San Antonio,2002-06-30,
78201,TX,San Antonio,2002-06-30,
78230,TX,San Antonio,2002-06-30,45334.2863457633
78216,TX,San Antonio,2002-06-30,55840.07763262296
78209,TX,San Antonio,2002-06-30,72935.37644944128
78229,TX,San Antonio,2002-06-30,51569.131039473614
78217,TX,San Antonio,2002-06-30,42815.75324453064
78212,TX,San Antonio,2002-06-30,57922.13263877551
78204,TX,San Antonio,2002-06-30,86400.26091130558
78202,TX,San Antonio,2002-06-30,64487.31067990467
78207,TX,San Antonio,2002-07-31,
78201,TX,San Antonio,2002-07-31,
78230,TX,San Antonio,2002-07-31,45458.42803720359
78216,TX,San Antonio,2002-07-31,56007.24317829497
78209,TX,San Antonio,2002-07-31,73141.65803888954
78229,TX,San Antonio,2002-07-31,51866.557979361794
78217,TX,San Antonio,2002-07-31,41800.62983807397
78212,TX,San Antonio,2002-07-31,58090.24961413726
78204,TX,San Antonio,2002-07-31,86638.1095665978
78202,TX,San Antonio,2002-07-31,65217.30897761503
78207,TX,San Antonio,2002-08-31,
78201,TX,San Antonio,2002-08-31,
78230,TX,San Antonio,2002-08-31,45676.76074770361
78216,TX,San Antonio,2002-08-31,56261.81457721993
78209,TX,San Antonio,2002-08-31,72853.21044379972
78229,TX,San Antonio,2002-08-31,52377.15242295063
78217,TX,San Antonio,2002-08-31,41398.4912639088
78212,TX,San Antonio,2002-08-31,57910.71057903207
78204,TX,San Antonio,2002-08-31,86730.42228479566
78202,TX,San Antonio,2002-08-31,65825.43534528384
78207,TX,San Antonio,2002-09-30,
78201,TX,San Antonio,2002-09-30,
78230,TX,San Antonio,2002-09-30,46131.914582000725
78216,TX,San Antonio,2002-09-30,56451.64130712769
78209,TX,San Antonio,2002-09-30,71997.47475649636
78229,TX,San Antonio,2002-09-30,52684.448372195744
78217,TX,San Antonio,2002-09-30,41255.01281711381
78212,TX,San Antonio,2002-09-30,57328.24465093761
78204,TX,San Antonio,2002-09-30,86225.56113077306
78202,TX,San Antonio,2002-09-30,65243.99858862034
78207,TX,San Antonio,2002-10-31,
78201,TX,San Antonio,2002-10-31,
78230,TX,San Antonio,2002-10-31,46568.22177237397
78216,TX,San Antonio,2002-10-31,56631.25587020628
78209,TX,San Antonio,2002-10-31,71359.06110024491
78229,TX,San Antonio,2002-10-31,52963.408463649255
78217,TX,San Antonio,2002-10-31,41229.78676735498
78212,TX,San Antonio,2002-10-31,57056.30231130296
